service_id,date,exception_type
Fa,20160212,1
Yr,20160212,1
2,20160213,1
Nb,20160214,1
3,20160214,1
0,20160215,1
Ss,20160215,1
Na,20160215,1
0,20160216,1
Ss,20160216,1
Na,20160216,1
0,20160217,1
Ss,20160217,1
Na,20160217,1
0,20160218,1
Ss,20160218,1
Na,20160218,1
0,20160219,1
Ss,20160219,1
Na,20160219,1
Fa,20160219,1
Yr,20160219,1
2,20160220,1
Nb,20160221,1
3,20160221,1
0,20160222,1
Ss,20160222,1
Na,20160222,1
0,20160223,1
Ss,20160223,1
Na,20160223,1
0,20160224,1
Ss,20160224,1
Na,20160224,1
0,20160225,1
Ss,20160225,1
Na,20160225,1
0,20160226,1
Ss,20160226,1
Na,20160226,1
Fa,20160226,1
Yr,20160226,1
2,20160227,1
Nb,20160228,1
3,20160228,1
0,20160229,1
Ss,20160229,1
Na,20160229,1
